Name,Project Title,Amount($),Fiscal Year,Program
"Raahemi, Bijan",Feature Engineering using Bio-Inspired Methods for the Internet Data Analytics,21000,2013-2014,Discovery Grants Program - Individual
"Raahemi, Bijan",Feature Engineering using Bio-Inspired Methods for the Internet Data Analytics,21000,2015-2016,Discovery Grants Program - Individual
"Raahemi, Bijan",Feature Engineering using Bio-Inspired Methods for the Internet Data Analytics,21000,2016-2017,Discovery Grants Program - Individual
"Raahemi, Bijan",Estimating Bus Passengers' Origin Destination Travel Route using Data Analytics on Wi-Fi and Bluetooth Signals,25000,2017-2018,Engage Grants Program
"Rabbany, Reihaneh",Mining Complex Interconnected Data,23000,2022-2023,Discovery Grants Program - Individual
"RABUSSEAU, Guillaume",Machine Learning with Tensor Networks,23000,2022-2023,Discovery Grants Program - Individual
"Radke, DavidDTR",The Impact of Teams in Multiagent Systems,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Rafiei, Davood",Natural Language Data Management,56000,2022-2023,Discovery Grants Program - Individual
"Rafiey, Akbar",Valued Constraint Satisfaction Problems: Differential Privacy and Approximability,35000,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rafiey, Akbar",Valued Constraint Satisfaction Problems: Differential Privacy and Approximability,35000,2020-2021,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rahimi, Afshin",Remote Monitoring of Production Operations using a Smart Gateway Device,30000,2020-2021,Alliance Grants
"Rahman, MohammadMasudur","Mining, Intelligence and Automation in Tackling Machine-Learning Bugs",29000,2022-2023,Discovery Grants Program - Individual
"Rahman, MohammadMasudur","Mining, Intelligence and Automation in Tackling Machine-Learning Bugs",29000,2021-2022,Discovery Grants Program - Individual
"Rahman, MohammadMasudur","Mining, Intelligence and Automation in Tackling Machine-Learning Bugs",12500,2021-2022,Discovery Launch Supplement
"Rahman, Parash",Approximation algorithms for data gathering wireless sensor networks,4500,2016-2017,University Undergraduate Student Research Awards
"Rahnamayan, Shahryar",Oppostition-based evolutionary algorithms: toward solving high-dimensional optimization problems efficiently,25000,2013-2014,Discovery Grants Program - Individual
"Rahnamayan, Shahryar",Oppostition-based evolutionary algorithms: toward solving high-dimensional optimization problems efficiently,25000,2014-2015,Discovery Grants Program - Individual
"Rahnamayan, Shahryar",Oppostition-based evolutionary algorithms: toward solving high-dimensional optimization problems efficiently,25000,2012-2013,Discovery Grants Program - Individual
"Rahnamayan, Shahryar",Oppostition-based evolutionary algorithms: toward solving high-dimensional optimization problems efficiently,25000,2011-2012,Discovery Grants Program - Individual
"Rahnamayan, Shahryar",Oppostition-based evolutionary algorithms: toward solving high-dimensional optimization problems efficiently,20000,2010-2011,Discovery Grants Program - Individual
"Rajabi, Enayat",Semantic Web Analysis over the Nova Scotia Open Data,24000,2022-2023,Discovery Grants Program - Individual
"Rajabiyazdi, Fatemeh",Exploring the design and development of patient data visualizations on shared displays,24000,2022-2023,Discovery Grants Program - Individual
"Rakhmatov, Daler",Green Computing Innovations for Biomedical Imaging Applications,24000,2022-2023,Discovery Grants Program - Individual
"Ralph, Paul",Reconciling modern design practices with agile software development methods,48000,2022-2023,Discovery Grants Program - Individual
"Ralph, Paul",Reconciling modern design practices with agile software development methods,48000,2021-2022,Discovery Grants Program - Individual
"Ralph, Paul",Reconciling modern design practices with agile software development methods,40000,2021-2022,Discovery Grants Program - Accelerator Supplements
"Ralph, Paul",Reconciling modern design practices with agile software development methods,40000,2022-2023,Discovery Grants Program - Accelerator Supplements
"Ralph, Paul",Reconciling modern design practices with agile software development methods,40000,2020-2021,Discovery Grants Program - Accelerator Supplements
"Ralph, Paul",Reconciling modern design practices with agile software development methods,48000,2020-2021,Discovery Grants Program - Individual
"Ramanna, Sheela",Tolerance-based Granular Computing Methods in Learning: Foundations and Applications,23000,2020-2021,Discovery Grants Program - Individual
"Ramanna, Sheela",Tolerance-based Granular Computing Methods in Learning: Foundations and Applications,23000,2019-2020,Discovery Grants Program - Individual
"Ramanna, Sheela",Tolerance-based Granular Computing Methods in Learning: Foundations and Applications,23000,2023-2024,Discovery Grants Program - Individual
"Ramanna, Sheela",Tolerance-based Granular Computing Methods in Learning: Foundations and Applications,23000,2021-2022,Discovery Grants Program - Individual
"Ramanna, Sheela",Tolerance-based Granular Computing Methods in Learning: Foundations and Applications,23000,2022-2023,Discovery Grants Program - Individual
"Randhawa, Gurjit",Machine learning-based alignment-free methodology for complete genome analysis,12500,2022-2023,Discovery Launch Supplement
"Randhawa, Gurjit",Machine learning-based alignment-free methodology for complete genome analysis,25000,2022-2023,Discovery Grants Program - Individual
"Randhawa, Sikander",Optimal Online Machine Learning Algorithms,50000,2020-2021,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Randhawa, Sikander",Optimal Online Machine Learning Algorithms,50000,2021-2022,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Randhawa, SikanderS",Optimal Online Machine Learning Algorithms,50000,2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Rasheed, Faraz",Periodic pattern mining in time series databases,35000,2010-2011,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rashid, AhmadA",Towards Reliable Machine Learning,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Rashwan, Abdullah",Arabic Typewritten OCR Using Deep Belief Networks,21000,2014-2015,Postgraduate Scholarships - Doctoral
"Ratté, Sylvie",Stratégie intelligente de mitigation aviaire,22500,2019-2020,Engage Grants Program
"Ratté, Sylvie",Pattern recognition for the detection and monitoring of verbal and non-verbal alterations in Alzheimer's disease,34000,2022-2023,Discovery Grants Program - Individual
"Ravanbakhsh, Siamak",Scalable Inference in Emerging Structured Domains,33000,2022-2023,Discovery Grants Program - Individual
"Ravanelli, Mirco",Building the next generation of intelligent machines with cooperative deep learning.,29000,2022-2023,Discovery Grants Program - Individual
"Ravanelli, Mirco",Building the next generation of intelligent machines with cooperative deep learning.,12500,2022-2023,Discovery Launch Supplement
"Ray, Nilanjan",Compressed Sensing for Computer Vision,18000,2016-2017,Discovery Grants Program - Individual
"Ray, Nilanjan",Compressed Sensing for Computer Vision,18000,2019-2020,Discovery Grants Program - Individual
"Ray, Nilanjan",Compressed Sensing for Computer Vision,18000,2018-2019,Discovery Grants Program - Individual
"Ray, Nilanjan",Compressed Sensing for Computer Vision,18000,2015-2016,Discovery Grants Program - Individual
"Ray, Suprio","High performance Big Data Systems for spatial, spatio-temporal and graph data management",22000,2022-2023,Discovery Grants Program - Individual
"RaymondStaley, KassandraKAL","Using Graph Databases in a Computational Knowledge Engine to Make Animal Health and Disease Data More \""FAIR\""",35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rayside, Derek",Synthesis of Microfluidic Chip Designs using SMT Solvers,20000,2022-2023,Discovery Grants Program - Individual
"RazaviFar, Roozbeh",Towards fault tolerance and attack resiliency in cyber-physical energy systems through learning from data streams under harsh learning conditions,29000,2022-2023,Discovery Grants Program - Individual
"Reardon, Joel",Securing Data Storage,28000,2022-2023,Discovery Grants Program - Individual
"Rebain, Daniel",Deep Understanding of Illumination for Neural Rendering of Virtual Worlds,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Rebain, DanielDJR",Deep Understanding of Illumination for Neural Rendering of Virtual Worlds,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Rebstock, Douglas",Improving Human-AI interaction in Complex Cooperative Settings through Behavioural Modelling,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rebstock, DouglasDEA",Improving Human-AI interaction in Complex Cooperative Settings through Behavioural Modelling,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Reddy, Siva",Robust conversational models for accessing the world's knowledge,34000,2022-2023,Discovery Grants Program - Individual
"Reed, Jameson",Spatial Relationships for 2.5D and 3D Image Data,4500,2013-2014,University Undergraduate Student Research Awards
"Reformat, Marek",Resource Description Framework (RDF) based representation of corporate data and their analysis using computational intelligence based methods,25000,2012-2013,Engage Grants Program
"Reformat, Marek",Decision-Support and Reasoning Structures over Knowledge Graphs,46000,2023-2024,Discovery Grants Program - Individual
"Regimbal, JulietteJ",Advancing Multimodal Audio-Haptic Design Through Guidelines and Tools,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rehman, Hatim",Data Centre Server Monitoring Tool,4500,2016-2017,University Undergraduate Student Research Awards
"Reinharz, Vladimir",Modelling large RNA 3D structures and prediction of folding dynamics,35000,2014-2015,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Ren, Jing",Applying Deep Learning to the Safety of Autonomous Ground Vehicles,28000,2022-2023,Discovery Grants Program - Individual
"Ren, Jing",Applying Deep Learning to the Safety of Autonomous Ground Vehicles,28000,2021-2022,Discovery Grants Program - Individual
"Ren, Jing",Applying Deep Learning to the Safety of Autonomous Ground Vehicles,28000,2023-2024,Discovery Grants Program - Individual
"Renauld, Emmanuelle",Towards an easier and better tractography algorithm with machine learning,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Renauld, EmmanuelleE",Towards an easier and better tractography algorithm with machine learning,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Resch, Nicolas",Coding Theory for Interactive Communication,21000,2018-2019,Postgraduate Scholarships - Doctoral
"RezaeiShoshtari, SahandSRS",Attention-based Skill Discovery for Robot Learning,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rezk, Eman",A Deep Learning Approach To Enrich Data Diversity For Equitable Diagnosis,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rezk, EmanEM",A Deep Learning Approach To Enrich Data Diversity For Equitable Diagnosis,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Reznikov, NatalieN",Universal Soldier: A deep neural net for unsupervised 3D segmentation of tomographic images of bones,30000,2022-2023,Alliance Grants
"Rhinelander, Jason",Efficient algorithms for support vector machines in distributed and resource limited environments,35000,2010-2011,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rhodin, Helge",Mobile Motion Capture: From Photorealistic Avatars to Privacy Protection,29000,2022-2023,Discovery Grants Program - Individual
"Rice, Jacqueline",Sociolinguistics Tools in the Analysis of Language Use in Software Development,20000,2022-2023,Discovery Grants Program - Individual
"Richard, EmmaE",Can artificial intelligence be used to detect Parkinson's disease through movement patterns?,6000,2022-2023,University Undergraduate Student Research Awards
"Richards, Blake",Credit assignment in the neocortex,62200,2022-2023,Discovery Grants Program - Individual
"Richards, Laura",Creating Reliable Longitudinal Data from Canadian Historical Censuses,17500,2012-2013,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Rigby, Peter",The Impact of Disruptive Events on Software Systems,8696,2012-2013,Department of National Defence / NSERC Research Partnership
"Rigby, Peter",The Impact of Disruptive Events on Software Systems,8696,2014-2015,Department of National Defence / NSERC Research Partnership
"Rigby, Peter","Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions",25000,2014-2015,Discovery Grants Program - Individual
"Rigby, Peter","Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions",25000,2013-2014,Discovery Grants Program - Individual
"Rigby, Peter",The Impact of Disruptive Events on Software Systems,8696,2013-2014,Department of National Defence / NSERC Research Partnership
"Rigby, Peter",Test Prioritization and Localization at Ericsson,25000,2015-2016,Engage Grants Program
"Rigby, Peter",Mining Software Test Histories to Identify Flaky Tests and Model Commit Failure Risk,29000,2020-2021,Discovery Grants Program - Individual
"Rigby, Peter","Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions",25000,2019-2020,Discovery Grants Program - Individual
"Rigby, Peter","Test Effectiveness, Localization, Prioritization, and Risk in Ericssons's Complex Test Environment",59295,2018-2019,Collaborative Research and Development Grants
"Rigby, Peter","Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions",25000,2018-2019,Discovery Grants Program - Individual
"Rigby, Peter","Test Effectiveness, Localization, Prioritization, and Risk in Ericssons's Complex Test Environment",59295,2016-2017,Collaborative Research and Development Grants
"Rigby, Peter","Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions",25000,2016-2017,Discovery Grants Program - Individual
"Rigby, Peter","Contemporary Software Peer Review: Modern practices, fault prediction, and extraction of design decisions",25000,2017-2018,Discovery Grants Program - Individual
"Rigby, Peter","Test Effectiveness, Localization, Prioritization, and Risk in Ericssons's Complex Test Environment",59295,2017-2018,Collaborative Research and Development Grants
"Rigby, Peter",Mining Software Test Histories to Identify Flaky Tests and Model Commit Failure Risk,29000,2023-2024,Discovery Grants Program - Individual
"Rigby, Peter",Mining Software Test Histories to Identify Flaky Tests and Model Commit Failure Risk,29000,2022-2023,Discovery Grants Program - Individual
"Rigby, Peter",Mining Software Test Histories to Identify Flaky Tests and Model Commit Failure Risk,29000,2021-2022,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient Software Engineering –Moving Towards A Software Engineering Web of Things,29000,2017-2018,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient Software Engineering –Moving Towards A Software Engineering Web of Things,29000,2016-2017,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient Software Engineering -Moving Towards A Software Engineering Web of Things,29000,2018-2019,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient Software Engineering -Moving Towards A Software Engineering Web of Things,29000,2019-2020,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient Software Engineering - Moving Towards A Software Engineering Web of Things,29000,2015-2016,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient software engineering,25000,2014-2015,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient software engineering,25000,2012-2013,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient software engineering,25000,2013-2014,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient software engineering,25000,2010-2011,Discovery Grants Program - Individual
"Rilling, Juergen",Ambient software engineering,25000,2011-2012,Discovery Grants Program - Individual
"Ripeanu, Matei",Infrastructure to Support Analytics on Massive-Scale Dynamic Graphs,55000,2022-2023,Discovery Grants Program - Individual
"Rish, Irina",Canada Excellence Research Chairs in Autonomous Artificial Intelligence,1400000,2021-2022,Canada Excellence Research Chairs
"Rish, Irina",Canada Excellence Research Chair in Autonomous Artificial Intelligence,400000,2019-2020,Canada Excellence Research Chairs
"Rish, Irina",Canada Excellence Research Chair in Autonomous Artificial Intelligence,1400000,2020-2021,Canada Excellence Research Chairs
"Ritcey, Emma",Machine learning with high-frequency physiologic data,4500,2019-2020,University Undergraduate Student Research Awards
"Ritchie, Jacob",Human-Centered Artificial Intelligence for Computational Journalism,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Ritchie, Jacob",Human-Centered Artificial Intelligence for Computational Journalism,10500,2020-2021,Postgraduate Scholarships - Doctoral
"Ritchie, JacobJWK",Human-Centered Artificial Intelligence for Computational Journalism,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Rivaz, Hassan",Making Sense of the Data Trove Hidden in Medical Ultrasound Signals,33000,2022-2023,Discovery Grants Program - Individual
"Rivet, Philippe",Explainable machine learning for a better understanding of air pollution and climate change,6000,2021-2022,University Undergraduate Student Research Awards
"Robere, Robert",Towards a Unified Theory of Proof and Circuit Complexity,46000,2023-2024,Discovery Grants Program - Individual
"Roberts, Ian",Computer vision tools for augmented reality applications,4500,2012-2013,University Undergraduate Student Research Awards
"Roberts, Ian",Improving the Reliability and Speed of Computer Vision Image Recognition,17300,2013-2014,Postgraduate Scholarships - Master's
"Robertson, Brandon",Machine learning of speech synthesis,4500,2017-2018,University Undergraduate Student Research Awards
"Robertson, John",Explainable machine learning using evolutionary computing,4500,2020-2021,University Undergraduate Student Research Awards
"Robertson, SamuelSM",Structural Unification of Biological and Artificial Neural Networks via Network Science,17500,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Robertson, SeanDimock",A Multiresolution Approach to Deep Neural Networks,35000,2019-2020,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Robertson, SeanDimock",A Multiresolution Approach to Deep Neural Networks,35000,2018-2019,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Robertson, SeanDimock",Strongly Consistent Databases on Eventually Consistent Storage,4500,2011-2012,University Undergraduate Student Research Awards
"Robillard, Martin",Automated support for framework documentation,29000,2012-2013,Discovery Grants Program - Individual
"Robillard, Martin",Automated support for framework documentation,29000,2011-2012,Discovery Grants Program - Individual
"Robillard, Martin",Automated support for framework documentation,29000,2013-2014,Discovery Grants Program - Individual
"Robillard, Martin",Automated support for framework documentation,29000,2014-2015,Discovery Grants Program - Individual
"Robillard, Martin",Checkable Representations of Design Decisions,34000,2018-2019,Discovery Grants Program - Individual
"Robillard, Martin",Automatic Failure Localization and Diagnosis for Cloud Computing Applications,24500,2017-2018,Engage Grants Program
"Robillard, Martin",Automated support for framework documentation,29000,2016-2017,Discovery Grants Program - Individual
"Robillard, Martin",Checkable Representations of Design Decisions,34000,2020-2021,Discovery Grants Program - Individual
"Robillard, Martin",Checkable Representations of Design Decisions,34000,2019-2020,Discovery Grants Program - Individual
"Robillard, Martin",Checkable Representations of Design Decisions,68000,2021-2022,Discovery Grants Program - Individual
"Robillard, Martin",Generating Layered Software Documentation with Guided Synthesis,59000,2023-2024,Discovery Grants Program - Individual
"Robillard, Martin",Generating Layered Software Documentation with Guided Synthesis,40000,2023-2024,DND/NSERC Discovery Grant Supplement
"Robillard, Pierre",Studies of software process knowledge flow,24000,2011-2012,Discovery Grants Program - Individual
"Robillard, Pierre",Studies of software process knowledge flow,24000,2010-2011,Discovery Grants Program - Individual
"Robillard, Pierre",Studies of software process knowledge flow,24000,2013-2014,Discovery Grants Program - Individual
"Robillard, Pierre",Studies of software process knowledge flow,24000,2012-2013,Discovery Grants Program - Individual
"Robinson, Derek",Data visualization of drug checking reports,4500,2020-2021,University Undergraduate Student Research Awards
"Roche, Stéphane",Conception de normes d'intégration (crowdsourcing) et de diffusion (données ouvertes) de l'information géospatiale en support au génie urbain,24000,2017-2018,Discovery Grants Program - Individual
"Rodriguez Perez, Gema",Advancing Novel Approaches to Improve the Practices and Processes of Software Development in Online Collaborative Coding Platforms,25000,2023-2024,Discovery Grants Program - Individual
"RodriguezPerez, Gema",Advancing Novel Approaches to Improve the Practices and Processes of Software Development in Online Collaborative Coding Platforms,25000,2022-2023,Discovery Grants Program - Individual
"RodriguezPerez, Gema",Advancing Novel Approaches to Improve the Practices and Processes of Software Development in Online Collaborative Coding Platforms,12500,2022-2023,Discovery Launch Supplement
"Roeder, Geoffrey",User-Friendly Large-Scale Machine Learning,4500,2016-2017,University Undergraduate Student Research Awards
"Roeder, Geoffrey",Building an AI for Data Science: Learning Statistical Structure Directly from Data through Structured Deep Generative Models,21000,2018-2019,Postgraduate Scholarships - Doctoral
"Roeder, Geoffrey",Building an AI for Data Science: Learning Statistical Structure Directly from Data through Structured Deep Generative Models,21000,2021-2022,Postgraduate Scholarships - Doctoral
"Roeder, Geoffrey",Building an AI for Data Science: Learning Statistical Structure Directly from Data through Structured Deep Generative Models,10500,2019-2020,Postgraduate Scholarships - Doctoral
"Roeder, Geoffrey",Building an AI for Data Science: Learning Statistical Structure Directly from Data through Structured Deep Generative Models,10500,2020-2021,Postgraduate Scholarships - Doctoral
"Roeder, William",Algorithms for Matching RNA Transcripts and Protein Isoforms in RNA-Seq Data,4500,2014-2015,University Undergraduate Student Research Awards
"Rohanifar, Yasaman",Designing Accessible and Inclusive Financial Technologies for Immigrants and Refugees,35000,2021-2022,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rohanifar, YasamanYR",Designing Accessible and Inclusive Financial Technologies for Immigrants and Refugees,35000,2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rokne, Jon",Emergency Management with Social Networks,28000,2021-2022,Discovery Grants Program - Individual
"Rokne, Jon",Emergency Management with Social Networks,28000,2022-2023,Discovery Grants Program - Individual
"Rokne, Jon",Emergency Management with Social Networks,28000,2020-2021,Discovery Grants Program - Individual
"Rokne, Jon",Emergency Management with Social Networks,28000,2019-2020,Discovery Grants Program - Individual
"Rokne, Jon",Clean-tech database with intelligent search functionality,24477,2014-2015,Engage Grants Program
"Rokne, Jon",Integrated framework for stock market portfolio optimization,23844,2013-2014,Engage Grants Program
"Rolnick, David",Mathematical Principles for Neural Network Design,29000,2021-2022,Discovery Grants Program - Individual
"Rolnick, David",Mathematical Principles for Neural Network Design,29000,2022-2023,Discovery Grants Program - Individual
"Ronagh, Pooya",Quantum Simulation of Diffusion Processes and Applications in Artificial Intelligence,12500,2022-2023,Discovery Launch Supplement
"Ronagh, Pooya",Quantum Simulation of Diffusion Processes and Applications in Artificial Intelligence,33000,2022-2023,Discovery Grants Program - Individual
"Rose, Caroline",Making Believable Agents using a Realistic Artificial Intelligence Memory Model,17500,2013-2014,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Rose, Jonathan","Computer Automation of Mental Health Measurement, Diagnosis and Therapy",55000,2022-2023,Discovery Grants Program - Individual
"Rose, Rhiannon",Prediction and Control with Missingness and Noisy Data,35000,2014-2015,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rose, Rhiannon",Prediction and Control with Missingness and Noisy Data,35000,2015-2016,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Rose, Rhiannon",Prediction and Control with Missingness and Noisy Data,35000,2016-2017,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Ross, Brian",Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design,14000,2015-2016,Discovery Grants Program - Individual
"Ross, Brian",Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design,14000,2014-2015,Discovery Grants Program - Individual
"Ross, Brian",Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design,14000,2012-2013,Discovery Grants Program - Individual
"Ross, Brian",Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design,14000,2013-2014,Discovery Grants Program - Individual
"Ross, Brian",Multi-objective grammar-guided genetic programming for bio-network modelling and evolutionary design,14000,2011-2012,Discovery Grants Program - Individual
"Ross, Neil",Mathematical Methods for Practical Quantum Computing,23000,2022-2023,Discovery Grants Program - Individual
"Roth, Andrew",Computational Methods for Single Cell Biology,29000,2022-2023,Discovery Grants Program - Individual
"ROUAT, Jean",Algorithms and Evaluation for Neuromorphic Multimodal Assistive Systems,41000,2023-2024,Discovery Grants Program - Individual
"Rouhani, Hossein",Simulating environmental impacts on building envelopes using machine learning and advanced data analytics,25000,2018-2019,Engage Grants Program
"Roumanis, Gary",Software framework for distributed multiple sequence alignments,4500,2010-2011,University Undergraduate Student Research Awards
"Roy, Banani","Supporting complex workflows for data-intensive discovery collaboratively, reliably and efficiently",24000,2023-2024,Discovery Grants Program - Individual
"Roy, Banani","Supporting complex workflows for data-intensive discovery collaboratively, reliably and efficiently",24000,2022-2023,Discovery Grants Program - Individual
"Roy, Chanchal","Change, Similarity and Redundancy in Software",86000,2021-2022,Discovery Grants Program - Individual
"Roy, Chanchal","Change, Similarity and Redundancy in Software",43000,2015-2016,Discovery Grants Program - Individual
"Roy, Chanchal","Change, Similarity and Redundancy in Software",43000,2018-2019,Discovery Grants Program - Individual
"Roy, Chanchal","Change, Similarity and Redundancy in Software",43000,2016-2017,Discovery Grants Program - Individual
"Roy, Chanchal","Change, Similarity and Redundancy in Software",43000,2019-2020,Discovery Grants Program - Individual
"Roy, Chanchal","Change, Similarity and Redundancy in Software",43000,2020-2021,Discovery Grants Program - Individual
"Roy, ChanchalKumar",NSERC CREATE in Software Analytics Research (SOAR),150000,2020-2021,Collaborative Research and Training Experience
"Roy, ChanchalKumar",NSERC CREATE in Software Analytics Research (SOAR),300000,2021-2022,Collaborative Research and Training Experience
"Roy, ChanchalKumar","A Simple, Efficient and Robust Code Completion System for ESTI Development Environment",25000,2016-2017,Engage Grants Program
"Roy, ChanchalKumar",Code reviewer recommendation based on cross-project and technology experience,25000,2015-2016,Engage Grants Program
"Roy, ChanchalKumar","Change, similarity and redundancy in software systems",20000,2014-2015,Discovery Grants Program - Individual
"Roy, ChanchalKumar","Change, similarity and redundancy in software systems",20000,2013-2014,Discovery Grants Program - Individual
"Roy, ChanchalKumar","Change, similarity and redundancy in software systems",15000,2010-2011,Discovery Grants Program - Individual
"Roy, ChanchalKumar","Change, similarity and redundancy in software systems",20000,2011-2012,Discovery Grants Program - Individual
"Roy, ChanchalKumar","Change, similarity and redundancy in software systems",20000,2012-2013,Discovery Grants Program - Individual
"Roy, ChanchalKumarCKR",NSERC CREATE in Software Analytics Research (SOAR),300000,2022-2023,Collaborative Research and Training Experience
"Roy, Daniel",A Fresh Look at our Understanding of Machine Learning,55000,2022-2023,Discovery Grants Program - Individual
"Roy, Daniel",A Fresh Look at our Understanding of Machine Learning,40000,2022-2023,Discovery Grants Program - Accelerator Supplements
"Royer, Baptiste",Quantum Error Correction with Quantum States of Light,25000,2023-2024,Discovery Grants Program - Individual
"Rubin, Julia",Software of Things: Composition and Integration,46000,2022-2023,Discovery Grants Program - Individual
"Rubin, Julia",Software of Things: Composition and Integration,23000,2021-2022,Discovery Grants Program - Individual
"Rubin, Julia",Software of Things: Composition and Integration,23000,2018-2019,Discovery Grants Program - Individual
"Rubin, Julia",Software of Things: Composition and Integration,23000,2020-2021,Discovery Grants Program - Individual
"Rubin, Julia",Software of Things: Composition and Integration,23000,2019-2020,Discovery Grants Program - Individual
"Rudzicz, Frank",Machine learning in surgical safety,14157,2022-2023,Discovery Grants Program - Individual
"Rudzicz, Frank",Machine learning in surgical safety,9842,2022-2023,Discovery Grants Program - Individual
"Rueda, Luis",Integrative Machine Learning Models for Discovery and Validation of Biological Knowledge,34000,2022-2023,Discovery Grants Program - Individual
"Rueda, Luis",Market Assessment of an intelligent framework for social engineering cyber security training,15000,2020-2021,Idea to Innovation
"Ruhe, Guenther",Data Analytics for Open Software Product Innovation,26000,2020-2021,Discovery Grants Program - Individual
"Ruhe, Guenther",Advanced Analytics for Operationalization of Textual Data,50000,2021-2022,Alliance Grants
"Ruhe, Guenther",Data Analytics for Open Software Product Innovation,26000,2019-2020,Discovery Grants Program - Individual
"Ruhe, Guenther",Data Analytics for Open Software Product Innovation,26000,2018-2019,Discovery Grants Program - Individual
"Ruhe, Guenther",A recommendation system for intelligent issue management,56000,2018-2019,Collaborative Research and Development Grants
"Ruhe, Guenther",A recommendation system for intelligent issue management,112000,2016-2017,Collaborative Research and Development Grants
"Ruhe, Guenther",Release engineering for continuous integration,25000,2016-2017,Engage Grants Program
"Ruhe, Guenther",A recommendation system for intelligent issue management,112000,2017-2018,Collaborative Research and Development Grants
"Ruhe, Guenther",Tuning of artifact and process parameters towards optimized maintenance,94000,2011-2012,Collaborative Research and Development Grants
"Ruhe, Guenther",Tuning of artifact and process parameters towards optimized maintenance,57000,2012-2013,Collaborative Research and Development Grants
"Ruhe, Guenther",Planning and re-planning of software product releases,27000,2011-2012,Discovery Grants Program - Individual
"Ruhe, Guenther",Planning and re-planning of software product releases,27000,2010-2011,Discovery Grants Program - Individual
"Ruhe, Guenther",Data Analytics for Technical Debt Management in Requirements Engineering,25000,2015-2016,Engage Grants Program
"Ruhe, Guenther","Data analytics for \""cost of quality\"" of code artefacts.",25000,2015-2016,Engage Grants Program
"Ruhe, Guenther",Data analytics for automated testing and release management,25000,2014-2015,Engage Grants Program
"Ruhe, Guenther",Data Analytics for Open Software Product Innovation,52000,2021-2022,Discovery Grants Program - Individual
"Ruhe, GuentherGH",Advanced Analytics for Operationalization of Textual Data,50000,2022-2023,Alliance Grants
"Rumble, Stephen",Enabling next generation internet applications with novel datacenter storage,21000,2010-2011,Postgraduate Scholarships - Doctoral
